"REF_DATE","GEO","DGUID","Population and dwelling counts (11)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Population, 2021","","0","units","0","","1.1","36991981","","","","0"
"2021","Canada","2021A000011124","Population, 2016","","0","units","0","","1.2","35151728","","","","0"
"2021","Canada","2021A000011124","Population percentage change, 2016 to 2021","","0","units","0","","1.3","5.2","","","","1"
"2021","Canada","2021A000011124","Total private dwellings, 2021","","0","units","0","","1.4","16284235","","","","0"
"2021","Canada","2021A000011124","Total private dwellings, 2016","","0","units","0","","1.5","15412443","","","","0"
"2021","Canada","2021A000011124","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","1.6","5.7","","","","1"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents, 2021","","0","units","0","","1.7","14978941","","","","0"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents, 2016","","0","units","0","","1.8","14072079","","","","0"
"2021","Canada","2021A000011124","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","1.9","6.4","","","","1"
"2021","Canada","2021A000011124","Land area in square kilometres, 2021","","0","units","0","","1.10","8788702.80","","","","2"
"2021","Canada","2021A000011124","Population density per square kilometre, 2021","","0","units","0","","1.11","4.2","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Population, 2021","","0","units","0","","2.1","510550","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Population, 2016","","0","units","0","","2.2","519716","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Population percentage change, 2016 to 2021","","0","units","0","","2.3","-1.8","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings, 2021","","0","units","0","","2.4","269184","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings, 2016","","0","units","0","","2.5","265739","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","2.6","1.3","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents, 2021","","0","units","0","","2.7","223253","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents, 2016","","0","units","0","","2.8","218673","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","2.9","2.1","","","","1"
"2021","Newfoundland and Labrador","2021A000210","Land area in square kilometres, 2021","","0","units","0","","2.10","358170.37","","","","2"
"2021","Newfoundland and Labrador","2021A000210","Population density per square kilometre, 2021","","0","units","0","","2.11","1.4","","","","1"
"2021","Prince Edward Island","2021A000211","Population, 2021","","0","units","0","","3.1","154331","","","","0"
"2021","Prince Edward Island","2021A000211","Population, 2016","","0","units","0","","3.2","142907","","","","0"
"2021","Prince Edward Island","2021A000211","Population percentage change, 2016 to 2021","","0","units","0","","3.3","8.0","","","","1"
"2021","Prince Edward Island","2021A000211","Total private dwellings, 2021","","0","units","0","","3.4","74934","","","","0"
"2021","Prince Edward Island","2021A000211","Total private dwellings, 2016","","0","units","0","","3.5","71119","","","","0"
"2021","Prince Edward Island","2021A000211","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","3.6","5.4","","","","1"
"2021","Prince Edward Island","2021A000211","Private dwellings occupied by usual residents, 2021","","0","units","0","","3.7","64570","","","","0"
"2021","Prince Edward Island","2021A000211","Private dwellings occupied by usual residents, 2016","","0","units","0","","3.8","59472","","","","0"
"2021","Prince Edward Island","2021A000211","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","3.9","8.6","","","","1"
"2021","Prince Edward Island","2021A000211","Land area in square kilometres, 2021","","0","units","0","","3.10","5681.18","","","","2"
"2021","Prince Edward Island","2021A000211","Population density per square kilometre, 2021","","0","units","0","","3.11","27.2","","","","1"
"2021","Nova Scotia","2021A000212","Population, 2021","","0","units","0","","4.1","969383","","","","0"
"2021","Nova Scotia","2021A000212","Population, 2016","","0","units","0","","4.2","923598","","","","0"
"2021","Nova Scotia","2021A000212","Population percentage change, 2016 to 2021","","0","units","0","","4.3","5.0","","","","1"
"2021","Nova Scotia","2021A000212","Total private dwellings, 2021","","0","units","0","","4.4","476007","","","","0"
"2021","Nova Scotia","2021A000212","Total private dwellings, 2016","","0","units","0","","4.5","458568","","","","0"
"2021","Nova Scotia","2021A000212","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","4.6","3.8","","","","1"
"2021","Nova Scotia","2021A000212","Private dwellings occupied by usual residents, 2021","","0","units","0","","4.7","428228","","","","0"
"2021","Nova Scotia","2021A000212","Private dwellings occupied by usual residents, 2016","","0","units","0","","4.8","401990","","","","0"
"2021","Nova Scotia","2021A000212","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","4.9","6.5","","","","1"
"2021","Nova Scotia","2021A000212","Land area in square kilometres, 2021","","0","units","0","","4.10","52824.71","","","","2"
"2021","Nova Scotia","2021A000212","Population density per square kilometre, 2021","","0","units","0","","4.11","18.4","","","","1"
"2021","New Brunswick","2021A000213","Population, 2021","","0","units","0","","5.1","775610","","","","0"
"2021","New Brunswick","2021A000213","Population, 2016","","0","units","0","","5.2","747101","","","","0"
"2021","New Brunswick","2021A000213","Population percentage change, 2016 to 2021","","0","units","0","","5.3","3.8","","","","1"
"2021","New Brunswick","2021A000213","Total private dwellings, 2021","","0","units","0","","5.4","366146","","","","0"
"2021","New Brunswick","2021A000213","Total private dwellings, 2016","","0","units","0","","5.5","359721","","","","0"
"2021","New Brunswick","2021A000213","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","5.6","1.8","","","","1"
"2021","New Brunswick","2021A000213","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.7","337651","","","","0"
"2021","New Brunswick","2021A000213","Private dwellings occupied by usual residents, 2016","","0","units","0","","5.8","319773","","","","0"
"2021","New Brunswick","2021A000213","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","5.9","5.6","","","","1"
"2021","New Brunswick","2021A000213","Land area in square kilometres, 2021","","0","units","0","","5.10","71248.50","","","","2"
"2021","New Brunswick","2021A000213","Population density per square kilometre, 2021","","0","units","0","","5.11","10.9","","","","1"
"2021","Quebec","2021A000224","Population, 2021","","0","units","0","","6.1","8501833","","","","0"
"2021","Quebec","2021A000224","Population, 2016","","0","units","0","","6.2","8164361","","","","0"
"2021","Quebec","2021A000224","Population percentage change, 2016 to 2021","","0","units","0","","6.3","4.1","","","","1"
"2021","Quebec","2021A000224","Total private dwellings, 2021","","0","units","0","","6.4","4050164","","","","0"
"2021","Quebec","2021A000224","Total private dwellings, 2016","","0","units","0","","6.5","3858943","","","","0"
"2021","Quebec","2021A000224","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","6.6","5.0","","","","1"
"2021","Quebec","2021A000224","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.7","3749035","","","","0"
"2021","Quebec","2021A000224","Private dwellings occupied by usual residents, 2016","","0","units","0","","6.8","3531663","","","","0"
"2021","Quebec","2021A000224","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","6.9","6.2","","","","1"
"2021","Quebec","2021A000224","Land area in square kilometres, 2021","","0","units","0","","6.10","1298599.75","","","","2"
"2021","Quebec","2021A000224","Population density per square kilometre, 2021","","0","units","0","","6.11","6.5","","","","1"
"2021","Ontario","2021A000235","Population, 2021","","0","units","0","","7.1","14223942","","","","0"
"2021","Ontario","2021A000235","Population, 2016","","0","units","0","","7.2","13448494","","","","0"
"2021","Ontario","2021A000235","Population percentage change, 2016 to 2021","","0","units","0","","7.3","5.8","","","","1"
"2021","Ontario","2021A000235","Total private dwellings, 2021","","0","units","0","","7.4","5929250","","","","0"
"2021","Ontario","2021A000235","Total private dwellings, 2016","","0","units","0","","7.5","5598391","","","","0"
"2021","Ontario","2021A000235","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","7.6","5.9","","","","1"
"2021","Ontario","2021A000235","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.7","5491201","","","","0"
"2021","Ontario","2021A000235","Private dwellings occupied by usual residents, 2016","","0","units","0","","7.8","5169174","","","","0"
"2021","Ontario","2021A000235","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","7.9","6.2","","","","1"
"2021","Ontario","2021A000235","Land area in square kilometres, 2021","","0","units","0","","7.10","892411.76","","","","2"
"2021","Ontario","2021A000235","Population density per square kilometre, 2021","","0","units","0","","7.11","15.9","","","","1"
"2021","Manitoba","2021A000246","Population, 2021","","0","units","0","","8.1","1342153","","","","0"
"2021","Manitoba","2021A000246","Population, 2016","","0","units","0","","8.2","1278365","","","","0"
"2021","Manitoba","2021A000246","Population percentage change, 2016 to 2021","","0","units","0","","8.3","5.0","","","","1"
"2021","Manitoba","2021A000246","Total private dwellings, 2021","","0","units","0","","8.4","571528","","","","0"
"2021","Manitoba","2021A000246","Total private dwellings, 2016","","0","units","0","","8.5","539748","","","","0"
"2021","Manitoba","2021A000246","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","8.6","5.9","","","","1"
"2021","Manitoba","2021A000246","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.7","518054","","","","0"
"2021","Manitoba","2021A000246","Private dwellings occupied by usual residents, 2016","","0","units","0","","8.8","489050","","","","0"
"2021","Manitoba","2021A000246","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","8.9","5.9","","","","1"
"2021","Manitoba","2021A000246","Land area in square kilometres, 2021","","0","units","0","","8.10","540310.19","","","","2"
"2021","Manitoba","2021A000246","Population density per square kilometre, 2021","","0","units","0","","8.11","2.5","","","","1"
"2021","Saskatchewan","2021A000247","Population, 2021","","0","units","0","","9.1","1132505","","","","0"
"2021","Saskatchewan","2021A000247","Population, 2016","","0","units","0","","9.2","1098352","","","","0"
"2021","Saskatchewan","2021A000247","Population percentage change, 2016 to 2021","","0","units","0","","9.3","3.1","","","","1"
"2021","Saskatchewan","2021A000247","Total private dwellings, 2021","","0","units","0","","9.4","513725","","","","0"
"2021","Saskatchewan","2021A000247","Total private dwellings, 2016","","0","units","0","","9.5","495582","","","","0"
"2021","Saskatchewan","2021A000247","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","9.6","3.7","","","","1"
"2021","Saskatchewan","2021A000247","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.7","449581","","","","0"
"2021","Saskatchewan","2021A000247","Private dwellings occupied by usual residents, 2016","","0","units","0","","9.8","432622","","","","0"
"2021","Saskatchewan","2021A000247","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","9.9","3.9","","","","1"
"2021","Saskatchewan","2021A000247","Land area in square kilometres, 2021","","0","units","0","","9.10","577060.40","","","","2"
"2021","Saskatchewan","2021A000247","Population density per square kilometre, 2021","","0","units","0","","9.11","2.0","","","","1"
"2021","Alberta","2021A000248","Population, 2021","","0","units","0","","10.1","4262635","","","","0"
"2021","Alberta","2021A000248","Population, 2016","","0","units","0","","10.2","4067175","","","","0"
"2021","Alberta","2021A000248","Population percentage change, 2016 to 2021","","0","units","0","","10.3","4.8","","","","1"
"2021","Alberta","2021A000248","Total private dwellings, 2021","","0","units","0","","10.4","1772670","","","","0"
"2021","Alberta","2021A000248","Total private dwellings, 2016","","0","units","0","","10.5","1654129","","","","0"
"2021","Alberta","2021A000248","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","10.6","7.2","","","","1"
"2021","Alberta","2021A000248","Private dwellings occupied by usual residents, 2021","","0","units","0","","10.7","1633220","","","","0"
"2021","Alberta","2021A000248","Private dwellings occupied by usual residents, 2016","","0","units","0","","10.8","1527678","","","","0"
"2021","Alberta","2021A000248","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","10.9","6.9","","","","1"
"2021","Alberta","2021A000248","Land area in square kilometres, 2021","","0","units","0","","10.10","634658.27","","","","2"
"2021","Alberta","2021A000248","Population density per square kilometre, 2021","","0","units","0","","10.11","6.7","","","","1"
"2021","British Columbia","2021A000259","Population, 2021","","0","units","0","","11.1","5000879","","","","0"
"2021","British Columbia","2021A000259","Population, 2016","","0","units","0","","11.2","4648055","","","","0"
"2021","British Columbia","2021A000259","Population percentage change, 2016 to 2021","","0","units","0","","11.3","7.6","","","","1"
"2021","British Columbia","2021A000259","Total private dwellings, 2021","","0","units","0","","11.4","2211694","","","","0"
"2021","British Columbia","2021A000259","Total private dwellings, 2016","","0","units","0","","11.5","2063417","","","","0"
"2021","British Columbia","2021A000259","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","11.6","7.2","","","","1"
"2021","British Columbia","2021A000259","Private dwellings occupied by usual residents, 2021","","0","units","0","","11.7","2041834","","","","0"
"2021","British Columbia","2021A000259","Private dwellings occupied by usual residents, 2016","","0","units","0","","11.8","1881969","","","","0"
"2021","British Columbia","2021A000259","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","11.9","8.5","","","","1"
"2021","British Columbia","2021A000259","Land area in square kilometres, 2021","","0","units","0","","11.10","920686.55","","","","2"
"2021","British Columbia","2021A000259","Population density per square kilometre, 2021","","0","units","0","","11.11","5.4","","","","1"
"2021","Yukon","2021A000260","Population, 2021","","0","units","0","","12.1","40232","","","","0"
"2021","Yukon","2021A000260","Population, 2016","","0","units","0","","12.2","35874","","","","0"
"2021","Yukon","2021A000260","Population percentage change, 2016 to 2021","","0","units","0","","12.3","12.1","","","","1"
"2021","Yukon","2021A000260","Total private dwellings, 2021","","0","units","0","","12.4","19610","","","","0"
"2021","Yukon","2021A000260","Total private dwellings, 2016","","0","units","0","","12.5","17987","","","","0"
"2021","Yukon","2021A000260","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","12.6","9.0","","","","1"
"2021","Yukon","2021A000260","Private dwellings occupied by usual residents, 2021","","0","units","0","","12.7","17181","","","","0"
"2021","Yukon","2021A000260","Private dwellings occupied by usual residents, 2016","","0","units","0","","12.8","15215","","","","0"
"2021","Yukon","2021A000260","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","12.9","12.9","","","","1"
"2021","Yukon","2021A000260","Land area in square kilometres, 2021","","0","units","0","","12.10","472345.44","","","","2"
"2021","Yukon","2021A000260","Population density per square kilometre, 2021","","0","units","0","","12.11","0.1","","","","1"
"2021","Northwest Territories","2021A000261","Population, 2021","","0","units","0","","13.1","41070","","","","0"
"2021","Northwest Territories","2021A000261","Population, 2016","","0","units","0","","13.2","41786","","","","0"
"2021","Northwest Territories","2021A000261","Population percentage change, 2016 to 2021","","0","units","0","","13.3","-1.7","","","","1"
"2021","Northwest Territories","2021A000261","Total private dwellings, 2021","","0","units","0","","13.4","17603","","","","0"
"2021","Northwest Territories","2021A000261","Total private dwellings, 2016","","0","units","0","","13.5","17666","","","","0"
"2021","Northwest Territories","2021A000261","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","13.6","-0.4","","","","1"
"2021","Northwest Territories","2021A000261","Private dwellings occupied by usual residents, 2021","","0","units","0","","13.7","15207","","","","0"
"2021","Northwest Territories","2021A000261","Private dwellings occupied by usual residents, 2016","","0","units","0","","13.8","14981","","","","0"
"2021","Northwest Territories","2021A000261","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","13.9","1.5","","","","1"
"2021","Northwest Territories","2021A000261","Land area in square kilometres, 2021","","0","units","0","","13.10","1127711.92","","","","2"
"2021","Northwest Territories","2021A000261","Population density per square kilometre, 2021","","0","units","0","","13.11","0.0","","","","1"
"2021","Nunavut","2021A000262","Population, 2021","","0","units","0","","14.1","36858","","","","0"
"2021","Nunavut","2021A000262","Population, 2016","","0","units","0","","14.2","35944","","","","0"
"2021","Nunavut","2021A000262","Population percentage change, 2016 to 2021","","0","units","0","","14.3","2.5","","","","1"
"2021","Nunavut","2021A000262","Total private dwellings, 2021","","0","units","0","","14.4","11720","","","","0"
"2021","Nunavut","2021A000262","Total private dwellings, 2016","","0","units","0","","14.5","11433","","","","0"
"2021","Nunavut","2021A000262","Total private dwellings percentage change, 2016 to 2021","","0","units","0","","14.6","2.5","","","","1"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents, 2021","","0","units","0","","14.7","9926","","","","0"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents, 2016","","0","units","0","","14.8","9819","","","","0"
"2021","Nunavut","2021A000262","Private dwellings occupied by usual residents percentage change, 2016 to 2021","","0","units","0","","14.9","1.1","","","","1"
"2021","Nunavut","2021A000262","Land area in square kilometres, 2021","","0","units","0","","14.10","1836993.78","","","","2"
"2021","Nunavut","2021A000262","Population density per square kilometre, 2021","","0","units","0","","14.11","0.0","","","","1"


